วันที่,Unnamed: 1,กะ,เวลารูดเข้า,เวลารูดออก,Remark,OT Fix,OT วันทำงาน,OT วันหยุด,ทำงานวันหยุด,ทำงานวันหยุดประเพณี,กลับก่อนเวลา,มาทำงานสาย,ประเภทการลา,จำนวนวันลา,จำนวนนาที ที่ลา
18-Apr-24,,,07:52,17:06,,,,,,,,,,,
19-Apr-24,,,07:49,17:02,,,,,,,,,,,
20-Apr-24,,,12:12,17:04,,,,,,,,,ANNUAL LEAVE,0.5,
21-Apr-24,H,,,,,,,,,,,,,,
22-Apr-24,,,07:49,17:02,,,,,,,,,,,
23-Apr-24,,,07:55,17:03,,,,,,,,,,,
24-Apr-24,,,07:54,17:04,,,,,,,,,,,
25-Apr-24,,,07:50,17:02,,,,,,,,,,,
26-Apr-24,,,07:56,17:03,,,,,,,,,,,
27-Apr-24,H,,,,,,,,,,,,,,
28-Apr-24,H,,,,,,,,,,,,,,
29-Apr-24,,,07:47,17:03,,,,,,,,,,,
30-Apr-24,,,07:55,17:09,,,,,,,,,,,
01-May-24,T,,,,,,,,,,,,,,
02-May-24,,,07:49,17:03,,,,,,,,,,,
03-May-24,,,07:55,17:05,,,,,,,,,,,
04-May-24,T,,,,,,,,,,,,,,
05-May-24,H,,,,,,,,,,,,,,
06-May-24,,,08:00,17:00,ทำงานนอกบริษัท,,,,,,,,,,
07-May-24,,,07:51,17:02,,,,,,,,,,,
08-May-24,,,07:53,17:05,,,,,,,,,,,
09-May-24,,,07:53,17:06,,,,,,,,,,,
10-May-24,,,07:50,17:02,,,,,,,,,,,
11-May-24,H,,,,,,,,,,,,,,
12-May-24,H,,,,,,,,,,,,,,
13-May-24,,,07:49,19:23,,,120.0,,,,,,,,
14-May-24,,,07:52,17:23,,,,,,,,,,,
15-May-24,,,07:52,17:03,,,,,,,,,,,
16-May-24,,,07:53,17:04,,,,,,,,,,,
17-May-24,,,07:54,17:04,,,,,,,,,,,
,,,,,,,120.0,,,,,,,0.5,
